canoe_beach_426_01_purple_lane01        canoe
canoe_beach_426_02_purple_lane01        canoe
canoe_beach_426_06_purple_lane01        canoe
canoe_beach_426_07_purple_lane01        canoe
reid_state_park_427_01_purple_lane01    reid
reid_state_park_427_02_purple_lane01    reid
reid_state_park_427_07_purple_lane01    reid
south_lubec_428_01_purple_lane01        south
south_lubec_428_02_purple_lane01        south
south_lubec_428_03_purple_lane01        south
lubec_429_04_purple_lane01      lubec
lubec_429_05_purple_lane01      lubec
lubec_429_06_purple_lane01      lubec
canoe_beach_426_03_purple_lane02        canoe
canoe_beach_426_04_purple_lane02        canoe
canoe_beach_426_05_purple_lane02        canoe
reid_state_park_427_03_purple_lane02    reid
reid_state_park_427_04_purple_lane02    reid
reid_state_park_427_05_purple_lane02    reid
reid_state_park_427_06_purple_lane02    reid
lubec_429_02_purple_lane02      lubec
lubec_429_03_purple_lane02      lubec
lubec_429_07_purple_lane02      lubec
lubec_429_09_purple_lane02      lubec
